Source Plate	Source Row	Source Column	Destination Plate	Destination Row	Destination Column	Gene
5	1	17	2	13	15	YIR014W
5	1	21	2	13	16	YPR033C
5	1	22	2	13	17	YNL311C
5	1	23	2	13	18	YPL256C
5	1	24	2	13	19	YNL097C
5	2	6	2	13	20	YOR385W
5	2	8	2	13	21	YPL090C
5	2	10	2	13	22	YLR191W
5	2	11	2	13	23	YER048C
5	2	14	2	13	24	YPL232W
5	2	15	2	14	1	YGL255W
5	2	17	2	14	2	YKL107W
5	2	19	2	14	3	YNR008W
5	2	23	2	14	4	YDL227C
5	2	24	2	14	5	YGR241C
5	3	2	2	14	6	YPR124W
5	3	4	2	14	7	YDR541C
5	3	5	2	14	8	YCR072C
5	3	6	2	14	9	YNL065W
5	3	7	2	14	10	YGR204W
5	3	8	2	14	11	YMR160W
5	3	10	2	14	12	YLR094C
5	3	11	2	14	13	YER106W
5	3	13	2	14	14	YLR442C
5	3	15	2	14	15	YIL108W
5	3	16	2	14	16	YER102W
5	3	19	2	14	17	YLR450W
5	3	20	2	14	18	YOL130W
5	3	21	2	14	19	YDR518W
5	3	22	2	14	20	YNL317W
5	4	1	2	14	21	YGR257C
5	4	2	2	14	22	YDR490C
5	4	3	2	14	23	YJL160C
5	4	4	2	14	24	YOR028C
5	4	5	2	15	1	YML004C
5	4	7	2	15	2	YDL047W
5	4	10	2	15	3	YLR080W
5	4	12	2	15	4	YLR241W
5	4	14	2	15	5	YPL131W
5	4	15	2	15	6	YGL263W
5	4	18	2	15	7	YML107C
5	4	19	2	15	8	YPL096W
5	4	20	2	15	9	YMR091C
5	4	22	2	15	10	YAR031W
5	4	23	2	15	11	YAL011W
5	4	24	2	15	12	YGR260W
5	5	1	2	15	13	YJL025W
5	5	2	2	15	14	YPR129W
5	5	3	2	15	15	YKL027W
5	5	7	2	15	16	YHL011C
5	5	8	2	15	17	YNL002C
5	5	9	2	15	18	YPR027C
5	5	10	2	15	19	YLR173W
5	5	15	2	15	20	YIL107C
5	5	16	2	15	21	YNL333W
5	5	17	2	15	22	YBR234C
5	5	18	2	15	23	YDR502C
5	5	21	2	15	24	YDR485C
5	5	22	2	16	1	YNR033W
5	5	23	2	16	2	YPR008W
5	5	24	2	16	3	YBR297W
5	6	1	2	16	4	YHL014C
5	6	2	2	16	5	YER069W
5	6	3	2	16	6	YFR052W
